ID,lineage,cell,MYC
ACH-000429,kidney,A704,1.192788476
ACH-000430,ovary,TYKNU,1.17634801
ACH-000431,lung,NCIH1694,1.124074909
ACH-000432,blood,BV173,1.769189327
ACH-000433,kidney,CAKI1,1.361246374
ACH-000434,lung,NCIH1915,1.008903807
ACH-000435,uterus,EFE184,1.092598822
ACH-000436,plasma_cell,OCIMY7,1.264069021
ACH-000437,central_nervous_system,SW1088,0.944955384
ACH-000438,lung,LU65,3.021408492
ACH-000439,blood,ME1,1.302350497
ACH-000440,lymphocyte,CA46,0.988570635
ACH-000441,skin,SH4,1.469432104
ACH-000442,lung,RERFLCSQ1,1.182202547
ACH-000443,ovary,OVKATE,1.316869723
ACH-000444,lung,LU99,1.63980414
ACH-000445,central_nervous_system,KNS60,1.12695167
ACH-000446,peripheral_nervous_system,KPNSI9S,1.234387564
ACH-000447,lung,NCIH2228,1.133883641
ACH-000448,lung,NCIH1666,1.325823493
ACH-000449,soft_tissue,MESSA,1.005884452
ACH-000450,skin,MELHO,0.937365584
ACH-000451,lung,NCIH2085,1.023442417
ACH-000452,esophagus,TE8,2.648547005
ACH-000453,plasma_cell,MOLP2,0.953399322
ACH-000454,lung,HCC95,1.080265637
ACH-000455,central_nervous_system,LN428,1.221456935
ACH-000456,thyroid,BCPAP,0.99442083
ACH-000457,kidney,CAL54,1.110630835
ACH-000458,skin,CJM,1.317395353
ACH-000459,kidney,TUHR10TKB,1.054274503
ACH-000460,ovary,SNU8,0.944607508
ACH-000461,bile_duct,SNU1196,1.503736435
ACH-000462,blood,NALM1,1.019733642
ACH-000463,lung,NCIH460,2.80270917
ACH-000464,central_nervous_system,CAS1,1.066214037
ACH-000465,skin,SKMEL1,1.028835534
ACH-000466,gastric,SNU216,1.659279146
ACH-000467,colorectal,HCC56,0.838453159
ACH-000468,pancreas,PK45H,1.449383853
ACH-000469,central_nervous_system,YH13,1.007861805
ACH-000470,colorectal,SW1463,1.372194201
ACH-000471,liver,LI7,1.325116139
ACH-000472,upper_aerodigestive,HSC2,0.802674158
ACH-000473,urinary_tract,RT112,1.314851011
ACH-000475,liver,HUH1,1.032092697
ACH-000476,liver,JHH4,1.311231782
ACH-000477,skin,MALME3M,0.98192467
ACH-000478,liver,SNU387,0.84830988
ACH-000479,central_nervous_system,KNS81,1.02425045
ACH-000480,liver,HUH7,1.100070119
ACH-000481,lung,NCIH2170,4.820379287
ACH-000482,lung,RERFLCKJ,1.278246894
ACH-000483,liver,SNU182,1.418188564
ACH-000484,kidney,VMRCRCW,1.327416333
ACH-000485,gastric,GSU,1.112050486
ACH-000486,urinary_tract,KU1919,1.264785849
ACH-000487,blood,F36P,1.357228132
ACH-000488,esophagus,TE11,1.561723765
ACH-000489,colorectal,SW1116,1.040688056
ACH-000490,central_nervous_system,SF767,1.459925535
ACH-000491,colorectal,NCIH716,5.57032569
ACH-000492,blood,MUTZ5,1.003387468
ACH-000493,liver,SNU423,0.799855577
ACH-000494,engineered_ovary,OELE,1.008826838
ACH-000495,kidney,TUHR4TKB,0.849457427
ACH-000496,lung,NCIH1792,4.266065501
ACH-000498,blood,KO52,1.231084247
ACH-000499,bone,EW8,1.425138235
ACH-000500,upper_aerodigestive,SNU46,1.424026981
ACH-000501,colorectal,LS123,1.410758444
ACH-000502,pancreas,TCCPAN2,1.142888741
ACH-000503,upper_aerodigestive,BICR16,1.461568845
ACH-000504,central_nervous_system,SNB75,1.15589995
ACH-000505,soft_tissue,RKN,0.950546766
ACH-000506,lung,NCIH146,1.154168882
ACH-000507,gastric,KE39,1.621030907
ACH-000508,lung,CORL88,1.344221462
ACH-000509,lymphocyte,HUT78,1.213420596
ACH-000510,lung,NCIH1299,1.197336011
ACH-000511,lung,CALU1,0.778453687
ACH-000512,plasma_cell,INA6,1.279756671
ACH-000513,kidney,SNU1272,1.014399147
ACH-000514,lung,NCIH1092,1.175665721
ACH-000515,lung,HCC33,1.047101133
ACH-000516,bone,CAL78,0.908629695
ACH-000517,pancreas,SNU410,1.265753501
ACH-000518,upper_aerodigestive,CAL33,1.308676261
ACH-000519,blood,PEER,1.003118363
ACH-000520,ovary,59M,2.394981463
ACH-000521,lung,NCIH2030,1.229565455
ACH-000522,urinary_tract,UMUC3,1.307691387
ACH-000523,lung,NCIH1184,0.872465066
ACH-000524,ovary,KURAMOCHI,2.09704387
ACH-000525,lung,NCIH2171,4.438043624
ACH-000526,fibroblast,HS821T,1.009933967
ACH-000527,ovary,OVISE,1.283368038
ACH-000528,lung,ABC1,1.262509575
ACH-000529,fibroblast,T173,1.005008664
ACH-000530,lung,DMS114,1.346645499
ACH-000531,fibroblast,RS5,0.999032325
ACH-000532,colorectal,SNU61,2.240421212
ACH-000533,soft_tissue,NCIH2004RT,1.024696834
ACH-000534,lymphocyte,WSUDLCL2,1.321683608
ACH-000535,pancreas,BXPC3,1.066597547
ACH-000536,breast,BT20,1.037862149
ACH-000537,liver,SNU761,1.269909663
ACH-000538,gastric,HUTU80,0.997486693
ACH-000539,fibroblast,HS618T,1.01583597
ACH-000540,fibroblast,HS606T,0.996691802
ACH-000541,plasma_cell,KMS34,1.118583004
ACH-000542,ovary,HEYA8,1.408972301
ACH-000543,central_nervous_system,SNU489,0.999355144
ACH-000544,esophagus,OE21,1.605071931
